QNET Node Coordinate File
  32     1.0     1.0
   1     0.25    1.5    1 -1  0   zone 1
   2     1.0     1.75   1 -2  0   zone 2
   3     3.0     1.75   1 -3  0   zone 3
   4     3.75    1.5    1 -4  0   zone 4
   5     3.75    1.0    1 -5  0   zone 5
   6     3.75    0.5    1 -6  0   zone 6
   7     3.0     0.25   1 -7  0   zone 7
   8     1.0     0.25   1 -8  0   zone 8
   9     0.25    0.5    1 -9  0   zone 9
  10     0.25    1.0    1 -10 0   zone 10
  11     0.5     1.5    4  0  0
  12     1.0     1.5    4  0  0
  13     2.0     1.5    4  0  0
  14     3.0     1.5    4  0  0
  15     3.5     1.5    4  0  0
  17     0.85    1.01   4  0  0
  18     1.0     1.15   4  0  0
  19     1.15    1.01   4  0  0
  21     2.85    1.01   4  0  0
  22     3.00    1.15   4  0  0
  23     3.15    1.01   4  0  0
  25     0.5     0.5    4  0  0
  26     1.0     0.5    4  0  0
  27     2.0     0.5    4  0  0
  28     3.0     0.5    4  0  0
  29     3.5     0.5    4  0  0
  30     1.0     0.85   4  0  0
  31     3.0     0.85   4  0  0
  32     0.85    0.99   4  0  0
  33     1.15    0.99   4  0  0
  34     2.85    0.99   4  0  0
  35     3.15    0.99   4  0  0

