  Report of vehicles en-route at end of simulation
    link position   car dist status orig dest arrt wait1 wait2 wait3 wait4 wait5
    2    1      4    0.324     0     4     1   193 999999    213    223      0      0
    3    1    145    0.307    20     4     2   194 999999    213    254      0      0
    3    2    203    0.215     0     4     2   199 999999    213    260      0      0
    5    1    193    0.484    20     6     3   174 999999    213    213   1740      0
    5    2    432    0.464     0     4     8   176 999999    213    209      0      0
    5    3    463    0.408     0     4     5   188 999999    213    218      0      0
    5    4    220    0.315     0     6     3   192 999999    213    224   1902      0
    5    5    495    0.226     0     4     1   199 999999    213    229      0      0
    5    6    510    0.133     0     4     9   204 999999    213    235      0      0
    5    7    524    0.070     0     4     3   208 999999    213    238      0      0
    6    1    541    0.243    30     4     2   197 999999    213    213      0      0
    6    2    547    0.195     0     4    10   200 999999    213    216      0      0
    6    3    578    0.010     0     4    10   212 999999    213    227      0      0
    8    1     37    0.320     0     1     4   193 999999    213    223      0      0
    8    2     78    0.252     0     1     4   197 999999    213    227      0      0
    9    1    209    0.380    20     1     4   190 999999    213    250      0      0
    9    2    224    0.285     0     1     4   195 999999    213    255      0      0
    9    3    241    0.219     0     1     3   199 999999    213    259      0      0
   10    1    312    0.451    20     1     4   185 999999    213    245      0      0
   10    2    322    0.383     0     1     4   188 999999    213    250      0      0
   10    3    323    0.337     0     1     4   190 999999    213    252      0      0
   11    1    399    0.491    30     1     6   165    213    213    198      0      0
   11    2    412    0.479     0     1     2   169 999999    213    200      0      0
   11    3    419    0.466     0     1     7   172 999999    213    204      0      0
   11    4    447    0.453     0     1     5   179 999999    213    210      0      0
   11    5    450    0.438     0     1     2   184 999999    213    216      0      0
   11    6    454    0.399     0     1     6   187 999999    213    219      0      0
   11    7    457    0.357     0     1     7   189 999999    213    221      0      0
   11    8    460    0.319     0     1     4   191 999999    213    223      0      0
   11    9    181    0.280     0     9     2   193 999999    213    226   1912      0
   11   10    491    0.231     0     1     4   198 999999    213    229      0      0
   11   11    493    0.186     0     1    10   201 999999    213    231      0      0
   11   12    214    0.136     0     9     2   202 999999    213    234   2029      0
   11   13    505    0.103     0     1     2   205 999999    213    236      0      0
   11   14    516    0.076     0     1     6   207 999999    213    238      0      0
   11   15    531    0.031     0     1     5   211 999999    213    241      0      0
   12    1    545    0.212    20     1     4   199 999999    213    215      0      0
   13    1    249    0.569    20     5    10   194 999999    213    214   1205      0
   13    2    263    0.564    20     5    10   193 999999    213    214      0      0
   13    3    283    0.471     0     5    10   197 999999    213    217      0      0
   13    4    286    0.413    20     5    10   199 999999    213    219      0      0
   13    5    152    0.402     0     9    10   198 999999    213    219   1779      0
   13    6    282    0.352     0     5    10   201 999999    213    221      0      0
   13    7    172    0.304     0     9    10   201 999999    213    222      0      0
   13    8     94    0.275     0     4    10   203 999999    213    223      0      0
   13    9    253    0.228     0     5    10   205 999999    213    225   2014      0
   13   10    260    0.208     0     5    10   205 999999    213    225      0      0
   13   11    129    0.164     0     4    10   207 999999    213    227      0      0
   13   12    310    0.120     0     5    10   209 999999    213    228      0      0
   13   13    307    0.114     0     5    10   209 999999    213    228      0      0
   13   14    311    0.019     0     5    10   212 999999    213    232      0      0
   15    1    320    0.276    30     5    10   204 999999    213    213      0      0
   15    2    316    0.232    20     5    10   205 999999    213    215      0      0
   15    3    329    0.144     0     5    10   208 999999    213    218      0      0
   15    4    330    0.119     0     5    10   209 999999    213    218      0      0
   15    5    339    0.014     0     5    10   212 999999    213    222      0      0
   16    1    180    1.668    20     7     2   152 999999    213    212      0      0
